arch,loaded_runtime,loaded_p50_ms,loaded_p95_ms,loaded_throughput_fps,avg_far,avg_recall,gate_far,gate_recall,gate_speed,gate_pass
mobilenet_v3_small,pytorch,16.69363099790644,37.11467955035899,39.39674616264627,0.47554524739583287,0.28708749621556157,True,False,True,False
shufflenet_v2_x1_0,pytorch,29.866034499718808,187.49421360153065,19.715125343439304,0.333333333333333,0.3315924916742355,True,True,True,True
resnet18,pytorch,67.1812830005365,484.01406295015477,7.749052834923596,0.6666666666666662,0.33799945886243976,True,True,False,False
vgg16,pytorch,559.3303919995378,575.9984167503717,1.81210136383781,0.6666666666666662,0.3328792007266121,True,True,False,False
